variant,description,samples,top1_accuracy,recall@5,mrr,complete@5,latency_avg_ms,latency_p50_ms,latency_p95_ms,dense_index_ms,elasticsearch_index_ms
a0_fixed_raw_vector,固定长度切分 + 向量召回,90,0.5,0.75,0.6328,0.6556,0.011,0.0065,0.0185,301.8073,0.0
a1_semantic_raw_vector,语义边界切分 + 向量召回,90,0.5111,0.8222,0.6535,0.7333,0.005,0.0037,0.0092,224.6898,0.0
a2_parent_child_raw_vector,语义切分 + 父子索引 + 向量召回,90,0.5111,0.8944,0.6678,0.8333,0.005,0.0044,0.0067,173.9338,0.0
a3_parent_child_clean_vector,数据清洗 + 语义切分 + 父子索引 + 向量召回,90,0.5222,0.9278,0.6783,0.8889,0.0056,0.0039,0.0095,167.1006,0.0
a4_parent_child_clean_es_rrf,数据清洗 + 父子索引 + ES/向量并行召回 + RRF,90,0.7778,1.0,0.8833,1.0,5.4208,4.799,6.7513,167.6587,257.8316
